mcc,description,classification
3552,COAST HOTELS,Pre-Approval
3553,PARK INNS INTERNATIONAL,Pre-Approval
3554,Hotels/Motels/Inns/Resorts,Pre-Approval
3555,Hotels/Motels/Inns/Resorts,Pre-Approval
3556,Hotels/Motels/Inns/Resorts,Pre-Approval
3557,Hotels/Motels/Inns/Resorts,Pre-Approval
3558,JOLLY HOTELS,Pre-Approval
3559,Hotels/Motels/Inns/Resorts,Pre-Approval
3560,Hotels/Motels/Inns/Resorts,Pre-Approval
3561,Hotels/Motels/Inns/Resorts,Pre-Approval
3562,COMFORT INNS,Pre-Approval
3563,JOURNEY'S END MOTLS,Pre-Approval
3564,Hotels/Motels/Inns/Resorts,Pre-Approval
3565,RELAX INNS,Pre-Approval
3566,Hotels/Motels/Inns/Resorts,Pre-Approval
3567,Hotels/Motels/Inns/Resorts,Pre-Approval
3568,LADBROKE HOTELS,Pre-Approval
3569,Hotels/Motels/Inns/Resorts,Pre-Approval
3570,FORUM HOTELS,Pre-Approval
3571,Hotels/Motels/Inns/Resorts,Pre-Approval
3572,MIYAKO HOTELS,Pre-Approval
3573,SANDMAN HOTELS,Pre-Approval
3574,VENTURE INNS,Pre-Approval
3575,VAGABOND HOTELS,Pre-Approval
3576,Hotels/Motels/Inns/Resorts,Pre-Approval
3577,MANDARIN ORIENTAL HOTEL,Pre-Approval
3578,Hotels/Motels/Inns/Resorts,Pre-Approval
3579,HOTEL MERCURE,Pre-Approval
3580,Hotels/Motels/Inns/Resorts,Pre-Approval
3581,DELTA HOTEL,Pre-Approval
3582,Hotels/Motels/Inns/Resorts,Pre-Approval
3583,SAS HOTELS,Pre-Approval
3584,PRINCESS HOTELS INTERNATIONAL,Pre-Approval
3585,HUNGAR HOTELS,Pre-Approval
3586,SOKOS HOTELS,Pre-Approval
3587,DORAL HOTELS,Pre-Approval
3588,HELMSLEY HOTELS,Pre-Approval
3589,Hotels/Motels/Inns/Resorts,Pre-Approval
3590,FAIRMONT HOTELS,Pre-Approval
3591,SONESTA HOTELS,Pre-Approval
3592,OMNI HOTELS,Pre-Approval
3593,CUNARD HOTELS,Pre-Approval
3594,Hotels/Motels/Inns/Resorts,Pre-Approval
3595,HOSPITALITY INTERNATIONAL,Pre-Approval
3596,Hotels/Motels/Inns/Resorts,Pre-Approval
3597,Hotels/Motels/Inns/Resorts,Pre-Approval
3598,REGENT INTERNATIONAL HOTELS,Pre-Approval
3599,PANNONIA HOTELS,Pre-Approval
3600,Hotels/Motels/Inns/Resorts,Pre-Approval
3601,Hotels/Motels/Inns/Resorts,Pre-Approval
3602,Hotels/Motels/Inns/Resorts,Pre-Approval
3603,NOAH'S HOTELS,Pre-Approval
3604,Hotels/Motels/Inns/Resorts,Pre-Approval
3605,Hotels/Motels/Inns/Resorts,Pre-Approval
3606,Hotels/Motels/Inns/Resorts,Pre-Approval
3607,Hotels/Motels/Inns/Resorts,Pre-Approval
3608,Hotels/Motels/Inns/Resorts,Pre-Approval
3609,Hotels/Motels/Inns/Resorts,Pre-Approval
3610,Hotels/Motels/Inns/Resorts,Pre-Approval
3611,Hotels/Motels/Inns/Resorts,Pre-Approval
3612,MOVENPICK HOTELS,Pre-Approval
3613,Hotels/Motels/Inns/Resorts,Pre-Approval
3614,Hotels/Motels/Inns/Resorts,Pre-Approval
3615,TRAVELODGE,Pre-Approval
3616,Hotels/Motels/Inns/Resorts,Pre-Approval
3617,Hotels/Motels/Inns/Resorts,Pre-Approval
3618,Hotels/Motels/Inns/Resorts,Pre-Approval
3619,Hotels/Motels/Inns/Resorts,Pre-Approval
3620,TELFORD INTERNATIONAL,Pre-Approval
3621,Hotels/Motels/Inns/Resorts,Pre-Approval
3622,MERLIN HOTELS,Pre-Approval
3623,DORINT HOTELS,Pre-Approval
3624,Hotels/Motels/Inns/Resorts,Pre-Approval
3625,HOTLE UNIVERSALE,Pre-Approval
3626,PRINCE HOTELS,Pre-Approval
3627,Hotels/Motels/Inns/Resorts,Pre-Approval
3628,Hotels/Motels/Inns/Resorts,Pre-Approval
